신규분류요약,판매,판매명,생산,생산명,분리,분리명,사출,사출명
FRP_Color_Sph,S306,Iris M 3311 Selena Gray (2개입),P4582,Iris M Selena-Light Gray,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,S316,Iris M 3311 Selena Gray_낱개,P4582,Iris M Selena-Light Gray,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,S324,Iris M 3311 Selena Gray (TMG_2개입),P4582,Iris M Selena-Light Gray,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,T4582,CLC_40_3311_Selena Gray_원형,P4582,Iris M Selena-Light Gray,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,T9919,Iris M 3311 Selena Gray (TMG_2개입),P4582,Iris M Selena-Light Gray,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,T4600,Kilala_M3-Brown_원형,P4600,Kilala_M3-Brown_원형,Q1001,S38_투명-Dry,R1001,S38_투명-Dry
FRP_Color_Sph,T4601,Kilala_M2-Color_원형,P4601,Kilala_M2-Color_원형,Q1001,S38_투명-Dry,R1001,S38_투명-Dry
FRP_Color_Sph,T4605,SOJO_Dailybusy_Color,P4605,SOJO_Dailybusy_Color,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,T4610,SOJO_Rella_Color_원형,P4610,SOJO_Rella_Color_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,T4615,Kalloni_OZ-Color_원형,P4615,Kalloni_OZ-Color_원형,Q1001,S38_투명-Dry,R1001,S38_투명-Dry
FRP_Color_Sph,T4620,Kalloni_Waltz-Color_원형,P4620,Kalloni_Waltz-Color_원형,Q1001,S38_투명-Dry,R1001,S38_투명-Dry
FRP_Color_Sph,T4625,Kalloni_Ireland-Color_원형,P4625,Kalloni_Ireland-Color_원형,Q1001,S38_투명-Dry,R1001,S38_투명-Dry
FRP_Color_Sph,T4630,Kalloni_glass-Color_원형,P4630,Kalloni_glass-Color_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,S710,KYNY 1M_2개입,P4635,KYNY 1-Monthly_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,S710C,KYNY 1M_2개입_중문,P4635,KYNY 1-Monthly_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,S720,KYNY 6M_1개입,P4640,KYNY 6-Monthly_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,S720C,KYNY 6M_1개입_중문,P4640,KYNY 6-Monthly_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,T4650,Meido CHIC-2 Color_중사각,P4650,Meido CHIC-2 Color_중사각,Q1001,S38_투명-Dry,R1001,S38_투명-Dry
FRP_Color_Sph,T4655,Kilala_M058-Color_원형,P4655,Kilala_M058-Color_원형,Q1009,S38-Dry-14.2,R1009,S38-Dry-14.2
FRP_Color_Sph,T4660,Meido_Von-Color_원형,P4660,Meido_Von-Color_원형,Q1009,S38-Dry-14.2,R1009,S38-Dry-14.2
FRP_Color_Sph,T4661,Meido_38%_LOVE_Color_원형,P4661,Meido_38%_LOVE_Color_원형,Q1009,S38-Dry-14.2,R1009,S38-Dry-14.2
