품목코드,품명,사출창고,분리창고,검사접착,누수규격,완제품,불용재고
P0007A-06.50RHA2,1-Day_iris_Rhapsody,0,0,0,0,49750,0
P0007A-07.00RHA2,1-Day_iris_Rhapsody,0,0,0,0,34110,0
P0007A-07.50RHA2,1-Day_iris_Rhapsody,0,0,0,0,15640,0
P0007A-08.00RHA2,1-Day_iris_Rhapsody,0,0,0,0,32235,0
P0007A-08.50RHA2,1-Day_iris_Rhapsody,0,0,0,0,21030,0
P0007A-09.00RHA2,1-Day_iris_Rhapsody,0,0,0,0,14230,0
P0007A-09.50RHA2,1-Day_iris_Rhapsody,0,0,0,0,12290,0
P0007A-10.00RHA2,1-Day_iris_Rhapsody,0,0,0,0,15715,0
P0008A-00.00LAT2,1-Day_iris_Latin,0,0,0,0,14855,0
P0008A-00.50LAT2,1-Day_iris_Latin,0,0,0,0,12370,0
P0008A-00.75LAT2,1-Day_iris_Latin,0,0,0,0,9925,0
P0008A-01.00LAT2,1-Day_iris_Latin,0,0,0,0,0,0
P0008A-01.25LAT2,1-Day_iris_Latin,0,0,0,0,3065,0
P0008A-01.50LAT2,1-Day_iris_Latin,0,0,0,0,14920,0
P0008A-01.75LAT2,1-Day_iris_Latin,0,0,0,0,9335,0
P0008A-02.00LAT2,1-Day_iris_Latin,0,0,0,0,6360,0
P0008A-02.25LAT2,1-Day_iris_Latin,0,0,0,0,9015,0
P0008A-02.50LAT2,1-Day_iris_Latin,0,0,0,0,4610,0
P0008A-02.75LAT2,1-Day_iris_Latin,0,0,0,0,5215,0
P0008A-03.00LAT2,1-Day_iris_Latin,0,0,0,0,5755,0
P0008A-03.25LAT2,1-Day_iris_Latin,0,0,0,0,3140,0
P0008A-03.50LAT2,1-Day_iris_Latin,0,0,0,0,4470,0
P0008A-03.75LAT2,1-Day_iris_Latin,0,0,0,0,0,0
P0008A-04.00LAT2,1-Day_iris_Latin,0,0,0,0,0,0
P0008A-04.25LAT2,1-Day_iris_Latin,0,0,0,0,0,0
P0008A-04.50LAT2,1-Day_iris_Latin,0,0,0,0,22250,0
P0008A-04.75LAT2,1-Day_iris_Latin,0,0,0,0,15765,0
P0008A-05.00LAT2,1-Day_iris_Latin,0,0,0,0,3190,0
P0008A-05.25LAT2,1-Day_iris_Latin,0,0,0,0,30420,0
P0008A-05.50LAT2,1-Day_iris_Latin,0,0,0,0,15010,0
P0008A-05.75LAT2,1-Day_iris_Latin,0,0,0,0,2470,0
P0008A-06.00LAT2,1-Day_iris_Latin,0,0,0,0,18590,0
P0008A-06.50LAT2,1-Day_iris_Latin,0,0,0,0,25075,0
P0008A-07.00LAT2,1-Day_iris_Latin,0,0,0,0,25000,0
P0008A-07.50LAT2,1-Day_iris_Latin,0,0,0,0,8345,0
P0008A-08.00LAT2,1-Day_iris_Latin,0,0,0,0,17065,0
P0008A-08.50LAT2,1-Day_iris_Latin,0,0,0,0,11135,0
P0008A-09.00LAT2,1-Day_iris_Latin,0,0,0,0,2805,0
P0008A-09.50LAT2,1-Day_iris_Latin,0,0,0,0,4065,0
P0008A-10.00LAT2,1-Day_iris_Latin,0,0,0,0,8210,0
P0009A+00.25,Metha_Daily,0,0,0,0,320,0
P0009A+00.50,Metha_Daily,0,0,0,0,785,0
P0009A+00.75,Metha_Daily,0,0,0,0,1300,0
P0009A+01.00,Metha_Daily,0,0,0,0,550,0
P0009A+01.25,Metha_Daily,0,0,0,0,960,0
P0009A+01.50,Metha_Daily,0,0,0,0,1490,0
P0009A+01.75,Metha_Daily,0,0,0,0,1850,0
P0009A+02.00,Metha_Daily,0,0,0,0,1765,0
P0009A+02.25,Metha_Daily,0,0,0,0,1330,0
P0009A+02.50,Metha_Daily,0,0,0,0,0,0
P0009A+02.75,Metha_Daily,0,0,0,0,1370,0
P0009A+03.00,Metha_Daily,0,0,0,0,2055,0
P0009A+03.25,Metha_Daily,0,0,0,0,1250,0
P0009A+03.50,Metha_Daily,0,0,0,0,2620,0
P0009A+03.75,Metha_Daily,0,0,0,0,1565,0
P0009A+04.00,Metha_Daily,0,0,0,0,955,0
P0009A+04.25,Metha_Daily,0,0,0,0,3795,0
P0009A+04.50,Metha_Daily,0,0,0,0,1265,0
P0009A+04.75,Metha_Daily,0,0,0,0,3960,0
P0009A+05.00,Metha_Daily,0,0,0,0,180,0
P0009A+05.25,Metha_Daily,0,0,0,0,1450,0
P0009A+05.50,Metha_Daily,0,0,0,0,705,0
P0009A+05.75,Metha_Daily,0,0,0,0,580,0
P0009A+06.00,Metha_Daily,0,0,0,0,1460,0
P0009A-00.00,Metha_Daily,0,0,0,0,175,0
P0009A-00.50,Metha_Daily,0,0,0,0,1900,0
P0009A-00.75,Metha_Daily,0,0,0,0,2410,0
P0009A-01.00,Metha_Daily,0,0,0,0,3320,0
P0009A-01.25,Metha_Daily,0,0,0,0,3680,0
P0009A-01.50,Metha_Daily,0,0,0,0,8825,0
P0009A-01.75,Metha_Daily,0,0,0,0,4035,0
P0009A-02.00,Metha_Daily,0,0,0,0,1030,0
P0009A-02.25,Metha_Daily,0,0,0,0,4795,0
P0009A-02.50,Metha_Daily,0,0,0,0,14060,0
P0009A-02.75,Metha_Daily,0,0,0,0,3005,0
P0009A-03.00,Metha_Daily,0,0,0,0,1180,0
P0009A-03.25,Metha_Daily,0,0,0,0,1445,0
P0009A-03.50,Metha_Daily,0,0,0,0,310,0
P0009A-03.75,Metha_Daily,0,0,0,0,3740,0
P0009A-04.00,Metha_Daily,0,0,0,0,1780,0
P0009A-04.25,Metha_Daily,0,0,0,0,1375,0
P0009A-04.50,Metha_Daily,0,0,0,0,6030,0
P0009A-04.75,Metha_Daily,0,0,0,0,1285,0
P0009A-05.00,Metha_Daily,0,0,0,0,8490,0
P0009A-05.25,Metha_Daily,0,0,0,0,1045,0
P0009A-05.50,Metha_Daily,0,0,0,0,12290,0
P0009A-05.75,Metha_Daily,0,0,0,0,3430,0
P0009A-06.00,Metha_Daily,0,0,0,0,1255,0
P0009A-06.50,Metha_Daily,0,0,0,0,8890,0
P0009A-07.00,Metha_Daily,0,0,0,0,2360,0
P0009A-07.50,Metha_Daily,0,0,0,0,2670,0
P0009A-08.00,Metha_Daily,0,0,0,0,1590,0
P0009A-08.50,Metha_Daily,0,0,0,0,895,0
P0009A-09.00,Metha_Daily,0,0,0,0,1735,0
P0009A-09.50,Metha_Daily,0,0,0,0,2700,0
P0009A-10.00,Metha_Daily,0,0,0,0,1665,0
P0009A-12.00,Metha_Daily,0,0,0,0,440,0
