생산일자,판매코드,판매명,품목코드,제품명,실적수량,수주번호,이니셜,구분
2026-01-23,S617-02.75,Clalen O2O2 D_Ash Brown EX_30P,P3406A-02.75ASB,O2O2 D_Ash Brown EX,"1,530",202601050001.0,,국내
2026-01-23,S617-02.75,Clalen O2O2 D_Ash Brown EX_30P,P3406A-02.75ASB,O2O2 D_Ash Brown EX,"1,380",202601050001.0,,국내
2026-01-23,S617-03.00,Clalen O2O2 D_Ash Brown EX_30P,P3406A-03.00ASB,O2O2 D_Ash Brown EX,"1,260",202601050001.0,,국내
2026-01-23,S617-03.00,Clalen O2O2 D_Ash Brown EX_30P,P3406A-03.00ASB,O2O2 D_Ash Brown EX,"1,260",202601050001.0,,국내
2026-01-23,S617-03.00,Clalen O2O2 D_Ash Brown EX_30P,P3406A-03.00ASB,O2O2 D_Ash Brown EX,960,202601050001.0,,국내
2026-01-23,S617-03.00,Clalen O2O2 D_Ash Brown EX_30P,P3406A-03.00ASB,O2O2 D_Ash Brown EX,150,202601050001.0,,국내
2026-01-23,S617-03.00,Clalen O2O2 D_Ash Brown EX_30P,P3406A-03.00ASB,O2O2 D_Ash Brown EX,450,202601050001.0,,국내
2026-01-23,S617-03.00,Clalen O2O2 D_Ash Brown EX_30P,P3406A-03.00ASB,O2O2 D_Ash Brown EX,810,202601050001.0,,국내
2026-01-23,S617-03.00,Clalen O2O2 D_Ash Brown EX_30P,P3406A-03.00ASB,O2O2 D_Ash Brown EX,780,202601050001.0,,국내
2026-01-23,S617-03.00,Clalen O2O2 D_Ash Brown EX_30P,P3406A-03.00ASB,O2O2 D_Ash Brown EX,480,202601050001.0,,국내
2026-01-23,S617-03.00,Clalen O2O2 D_Ash Brown EX_30P,P3406A-03.00ASB,O2O2 D_Ash Brown EX,870,202601050001.0,,국내
2026-01-23,S617-03.00,Clalen O2O2 D_Ash Brown EX_30P,P3406A-03.00ASB,O2O2 D_Ash Brown EX,570,202601050001.0,,국내
2026-01-23,S617-03.00,Clalen O2O2 D_Ash Brown EX_30P,P3406A-03.00ASB,O2O2 D_Ash Brown EX,630,202601050001.0,,국내
2026-01-23,S617-03.00,Clalen O2O2 D_Ash Brown EX_30P,P3406A-03.00ASB,O2O2 D_Ash Brown EX,"1,350",202601050001.0,,국내
2026-01-26,S627-00.00,Clalen O2O2 D_Blending Rose EX_30P,P3409A-00.00PIN,O2O2 D_Blending Rose EX,210,202601050001.0,,국내
2026-01-26,S627-00.00,Clalen O2O2 D_Blending Rose EX_30P,P3409A-00.00PIN,O2O2 D_Blending Rose EX,"1,050",202601050001.0,,국내
2026-01-26,S627-00.00,Clalen O2O2 D_Blending Rose EX_30P,P3409A-00.00PIN,O2O2 D_Blending Rose EX,"1,050",202601050001.0,,국내
2026-01-26,S627-00.00,Clalen O2O2 D_Blending Rose EX_30P,P3409A-00.00PIN,O2O2 D_Blending Rose EX,"1,170",202601050001.0,,국내
2026-01-26,S627-00.00,Clalen O2O2 D_Blending Rose EX_30P,P3409A-00.00PIN,O2O2 D_Blending Rose EX,"1,410",202601050001.0,,국내
2026-01-26,S627-00.00,Clalen O2O2 D_Blending Rose EX_30P,P3409A-00.00PIN,O2O2 D_Blending Rose EX,660,202601050001.0,,국내
2026-01-26,S627-00.00,Clalen O2O2 D_Blending Rose EX_30P,P3409A-00.00PIN,O2O2 D_Blending Rose EX,"1,110",202601050001.0,,국내
2026-01-26,S627-00.00,Clalen O2O2 D_Blending Rose EX_30P,P3409A-00.00PIN,O2O2 D_Blending Rose EX,990,202601050001.0,,국내
2026-01-26,S627-00.00,Clalen O2O2 D_Blending Rose EX_30P,P3409A-00.00PIN,O2O2 D_Blending Rose EX,570,202601050001.0,,국내
2026-01-26,S627-00.00,Clalen O2O2 D_Blending Rose EX_30P,P3409A-00.00PIN,O2O2 D_Blending Rose EX,"1,110",202601050001.0,,국내
2026-01-26,S627-00.00,Clalen O2O2 D_Blending Rose EX_30P,P3409A-00.00PIN,O2O2 D_Blending Rose EX,540,202601050001.0,,국내
2026-01-26,S627-00.00,Clalen O2O2 D_Blending Rose EX_30P,P3409A-00.00PIN,O2O2 D_Blending Rose EX,780,202601050001.0,,국내
2026-01-26,S627-00.00,Clalen O2O2 D_Blending Rose EX_30P,P3409A-00.00PIN,O2O2 D_Blending Rose EX,"1,470",202601050001.0,,국내
2026-01-26,S619-00.00,Clalen O2O2 D_Ash Gray EX_30P,P3407A-00.00ASG,O2O2 D_Ash Gray EX,"1,530",202601050001.0,,국내
2026-01-26,S619-00.00,Clalen O2O2 D_Ash Gray EX_30P,P3407A-00.00ASG,O2O2 D_Ash Gray EX,"1,560",202601050001.0,,국내
2026-01-26,S619-00.00,Clalen O2O2 D_Ash Gray EX_30P,P3407A-00.00ASG,O2O2 D_Ash Gray EX,"1,650",202601050001.0,,국내
2026-01-26,S619-00.00,Clalen O2O2 D_Ash Gray EX_30P,P3407A-00.00ASG,O2O2 D_Ash Gray EX,"1,530",202601050001.0,,국내
2026-01-26,S619-00.00,Clalen O2O2 D_Ash Gray EX_30P,P3407A-00.00ASG,O2O2 D_Ash Gray EX,360,202601050001.0,,국내
2026-01-26,S619-00.00,Clalen O2O2 D_Ash Gray EX_30P,P3407A-00.00ASG,O2O2 D_Ash Gray EX,"1,410",202601050001.0,,국내
2026-01-26,S619-00.00,Clalen O2O2 D_Ash Gray EX_30P,P3407A-00.00ASG,O2O2 D_Ash Gray EX,660,202601050001.0,,국내
2026-01-26,S619-00.00,Clalen O2O2 D_Ash Gray EX_30P,P3407A-00.00ASG,O2O2 D_Ash Gray EX,"1,410",202601050001.0,,국내
2026-01-26,S619-00.00,Clalen O2O2 D_Ash Gray EX_30P,P3407A-00.00ASG,O2O2 D_Ash Gray EX,"1,230",202601050001.0,,국내
2026-01-26,S619-00.00,Clalen O2O2 D_Ash Gray EX_30P,P3407A-00.00ASG,O2O2 D_Ash Gray EX,"1,440",202601050001.0,,국내
2026-01-26,S619-00.00,Clalen O2O2 D_Ash Gray EX_30P,P3407A-00.00ASG,O2O2 D_Ash Gray EX,"1,410",202601050001.0,,국내
2026-01-26,S619-00.00,Clalen O2O2 D_Ash Gray EX_30P,P3407A-00.00ASG,O2O2 D_Ash Gray EX,"1,410",202601050001.0,,국내
2026-01-26,S619-00.00,Clalen O2O2 D_Ash Gray EX_30P,P3407A-00.00ASG,O2O2 D_Ash Gray EX,690,202601050001.0,,국내
2026-01-26,S619-00.00,Clalen O2O2 D_Ash Gray EX_30P,P3407A-00.00ASG,O2O2 D_Ash Gray EX,360,202601050001.0,,국내
2026-01-26,S619-00.00,Clalen O2O2 D_Ash Gray EX_30P,P3407A-00.00ASG,O2O2 D_Ash Gray EX,750,202601050001.0,,국내
2026-01-26,S619-00.00,Clalen O2O2 D_Ash Gray EX_30P,P3407A-00.00ASG,O2O2 D_Ash Gray EX,"1,350",202601050001.0,,국내
2026-01-26,S619-00.00,Clalen O2O2 D_Ash Gray EX_30P,P3407A-00.00ASG,O2O2 D_Ash Gray EX,540,202601050001.0,,국내
2026-01-26,S619-00.00,Clalen O2O2 D_Ash Gray EX_30P,P3407A-00.00ASG,O2O2 D_Ash Gray EX,450,202601050001.0,,국내
2026-01-26,S625-00.00,Clalen O2O2 D_Blending Hazel EX_30P,P3408A-00.00BRW,O2O2 D_Blending Hazel EX,540,202601050001.0,,국내
2026-01-26,S625-00.00,Clalen O2O2 D_Blending Hazel EX_30P,P3408A-00.00BRW,O2O2 D_Blending Hazel EX,420,202601050001.0,,국내
2026-01-26,S625-00.00,Clalen O2O2 D_Blending Hazel EX_30P,P3408A-00.00BRW,O2O2 D_Blending Hazel EX,510,202601050001.0,,국내
2026-01-26,S625-00.00,Clalen O2O2 D_Blending Hazel EX_30P,P3408A-00.00BRW,O2O2 D_Blending Hazel EX,450,202601050001.0,,국내
2026-01-26,S625-00.00,Clalen O2O2 D_Blending Hazel EX_30P,P3408A-00.00BRW,O2O2 D_Blending Hazel EX,540,202601050001.0,,국내
