일자,연,월,공정코드,실적_양품,실적_샘플제외,생산수량,불량수량,샘플수량,실제근무,실적
2025-02-27,2025,2,[55],9560.0,9560.0,7725.0,6100.0,415.0,True,9560.0
2025-02-27,2025,2,[80],6540.0,6540.0,6760.0,35.0,425.0,True,6540.0
2025-02-28,2025,2,[10],4170.0,4170.0,5560.0,1390.0,0.0,True,4170.0
2025-02-28,2025,2,[20],64368.0,64368.0,48426.0,45624.0,0.0,True,64368.0
2025-02-28,2025,2,[45],4920.0,4920.0,3915.0,2510.0,0.0,True,4920.0
2025-02-28,2025,2,[55],10275.0,10275.0,4965.0,6660.0,330.0,True,10275.0
2025-02-28,2025,2,[80],10425.0,10425.0,10755.0,40.0,485.0,True,10425.0
2025-03-01,2025,3,[10],2636.0,2636.0,5272.0,2636.0,0.0,True,2636.0
2025-03-01,2025,3,[20],71203.0,71203.0,52196.0,51950.0,0.0,True,71203.0
2025-03-01,2025,3,[45],4580.0,4580.0,4070.0,3562.0,0.0,True,4580.0
2025-03-01,2025,3,[55],19250.0,19250.0,10415.0,15205.0,820.0,True,19250.0
2025-03-01,2025,3,[80],18640.0,18640.0,18180.0,0.0,745.0,True,18640.0
2025-03-02,2025,3,[10],0.0,0.0,0.0,0.0,0.0,False,0.0
2025-03-02,2025,3,[20],82551.0,82551.0,54654.0,49320.0,0.0,True,82551.0
2025-03-02,2025,3,[45],7580.0,7580.0,7419.0,4177.0,0.0,True,7580.0
2025-03-02,2025,3,[55],14140.0,14140.0,8590.0,7025.0,365.0,True,14140.0
2025-03-02,2025,3,[80],13220.0,13220.0,13620.0,50.0,465.0,True,13220.0
2025-03-03,2025,3,[10],0.0,0.0,0.0,0.0,0.0,False,0.0
2025-03-03,2025,3,[20],83591.0,83591.0,59414.0,69085.0,0.0,True,83591.0
2025-03-03,2025,3,[45],7550.0,7550.0,3780.0,4781.0,0.0,True,7550.0
2025-03-03,2025,3,[55],8135.0,8135.0,6200.0,7850.0,305.0,True,8135.0
2025-03-03,2025,3,[80],6400.0,6400.0,6605.0,0.0,345.0,True,6400.0
2025-03-04,2025,3,[10],0.0,0.0,0.0,0.0,0.0,False,0.0
2025-03-04,2025,3,[20],30395.0,30395.0,20986.0,40889.0,0.0,True,30395.0
2025-03-04,2025,3,[45],3685.0,3685.0,679.0,3644.0,0.0,True,3685.0
2025-03-04,2025,3,[55],5790.0,5790.0,5200.0,2045.0,110.0,True,5790.0
2025-03-04,2025,3,[80],5775.0,5775.0,5955.0,5.0,215.0,True,5775.0
2025-03-05,2025,3,[10],0.0,0.0,0.0,0.0,0.0,False,0.0
2025-03-05,2025,3,[20],39154.0,39154.0,34072.0,36297.0,0.0,True,39154.0
2025-03-05,2025,3,[45],9460.0,9460.0,5791.0,7525.0,0.0,True,9460.0
2025-03-05,2025,3,[55],11600.0,11600.0,6450.0,12350.0,640.0,True,11600.0
2025-03-05,2025,3,[80],10640.0,10640.0,10980.0,80.0,530.0,True,10640.0
2025-03-06,2025,3,[10],6832.0,6832.0,7808.0,976.0,0.0,True,6832.0
2025-03-06,2025,3,[20],42128.0,42128.0,41566.0,32824.0,0.0,True,42128.0
2025-03-06,2025,3,[45],4525.0,4525.0,3947.0,3733.0,0.0,True,4525.0
2025-03-06,2025,3,[55],11220.0,11220.0,7130.0,9755.0,685.0,True,11220.0
2025-03-06,2025,3,[80],10020.0,10020.0,10320.0,200.0,720.0,True,10020.0
2025-03-07,2025,3,[10],5526.0,5526.0,7368.0,1842.0,0.0,True,5526.0
2025-03-07,2025,3,[20],44171.0,44171.0,36066.0,35872.0,0.0,True,44171.0
2025-03-07,2025,3,[45],7935.0,7935.0,6182.0,3993.0,0.0,True,7935.0
2025-03-07,2025,3,[55],9975.0,9975.0,8000.0,8740.0,490.0,True,9975.0
2025-03-07,2025,3,[80],10855.0,10855.0,11230.0,25.0,775.0,True,10855.0
2025-03-08,2025,3,[10],0.0,0.0,0.0,0.0,0.0,False,0.0
2025-03-08,2025,3,[20],39718.0,39718.0,35881.0,33822.0,0.0,True,39718.0
2025-03-08,2025,3,[45],6955.0,6955.0,4067.0,3879.0,0.0,True,6955.0
2025-03-08,2025,3,[55],9445.0,9445.0,4550.0,11750.0,980.0,True,9445.0
2025-03-08,2025,3,[80],8105.0,8105.0,8465.0,150.0,675.0,True,8105.0
2025-03-09,2025,3,[10],0.0,0.0,0.0,0.0,0.0,False,0.0
2025-03-09,2025,3,[20],24293.0,24293.0,25872.0,35947.0,0.0,True,24293.0
2025-03-09,2025,3,[45],7200.0,7200.0,3259.0,5681.0,0.0,True,7200.0
2025-03-09,2025,3,[55],7005.0,7005.0,6560.0,8705.0,575.0,True,7005.0
2025-03-09,2025,3,[80],6860.0,6860.0,6040.0,60.0,645.0,True,6860.0
2025-03-10,2025,3,[10],5651.0,5651.0,5651.0,0.0,0.0,True,5651.0
2025-03-10,2025,3,[20],40464.0,40464.0,27646.0,46731.0,0.0,True,40464.0
2025-03-10,2025,3,[45],6535.0,6535.0,4647.0,2957.0,0.0,True,6535.0
2025-03-10,2025,3,[55],19695.0,19695.0,12790.0,18185.0,1005.0,True,19695.0
2025-03-10,2025,3,[80],14970.0,14970.0,17570.0,2080.0,805.0,True,14970.0
2025-03-11,2025,3,[10],0.0,0.0,0.0,0.0,0.0,False,0.0
